checkpoint,AE,MSE,PSNR,SSIM,LPIPS,FID
res18ynetsync-VC24-LAB2LAB,9.395,0.010,21.439,0.732,0.219,0.000
res18ynetsyncGN-VC24-RGB2LAB,7.223,0.007,23.145,0.773,0.182,0.000
res18ynet-VC24-RGB2LAB,6.560,0.013,21.419,0.747,0.212,0.000
res18ynetsync-VC24-RGB2LAB,7.484,0.010,22.013,0.767,0.179,0.000
res18ynetsync-VC24-RGB2LAB-nop,6.240,0.009,22.127,0.777,0.193,0.000
attentionres18net-VC24-MYRGB2RGB,5.408,0.011,21.712,0.757,0.225,0.000
attentionres18net-VC24-RGB2RGB,5.456,0.013,21.480,0.755,0.234,0.000
attentionres18net1-VC24-RGB2RGB,5.664,0.012,21.724,0.756,0.229,0.000
attentionres18net2-VC24-RGB2RGB,5.760,0.014,20.810,0.731,0.227,0.000
attentionres18net3-VC24-RGB2RGB,23.029,0.099,10.152,0.170,0.976,0.000
attentionres18net4-VC24-RGB2RGB,5.529,0.012,21.588,0.753,0.234,0.000
attentionres18net5-VC24-RGB2RGB,13.598,0.048,13.552,0.587,0.512,0.000
attentionres18net6-VC24-L2RGB,6.194,0.014,19.642,0.728,0.282,0.000
res18netLab-VC24-RGB2LAB,6.811,0.015,20.776,0.723,0.242,0.000
resnetVAE-VC24-RGB2LAB,8.772,0.016,19.654,0.673,0.275,0.000
resnetVAE-VC24-RGB2LAB,8.761,0.015,19.837,0.682,0.267,0.000
resnetVAE2-VC24-RGB2LAB,8.600,0.015,19.715,0.687,0.267,0.000
resnetVAE3-VC24-RGB2LAB,9.934,0.017,18.839,0.621,0.348,0.000
resnetVQ-VC24-RGB2LAB,6.229,0.011,21.949,0.743,0.257,0.000
resnetVQ2-VC24-RGB2LAB,6.467,0.012,20.266,0.694,0.303,0.000
resnetVQ2-VC24-RGB2LAB,7.648,0.014,20.274,0.708,0.247,0.000
resnetVQ-VC24-RGB2LAB,6.433,0.015,20.443,0.722,0.286,0.000
resnetVQ3-VC24-RGB2LAB,55.593,0.084,11.159,0.158,0.641,0.000
resnetVQ3-VC24-RGB2LAB,8.669,0.023,18.844,0.698,0.285,0.000
resnetVQ3-VC24-RGB2LAB,7.638,0.015,20.194,0.709,0.255,0.000
resnetWGAN-VC24-RGB2LAB,11.026,0.013,20.462,0.715,0.247,0.000
resnetWGAN-VC24-RGB2LAB,8.807,0.015,20.083,0.714,0.253,0.000
resnetpix2pixHD-VC24-RGB2LAB,7.422,0.011,21.638,0.745,0.220,0.000
resnetpix2pixHD3-VC24-RGB2LAB,12.505,0.045,13.669,0.548,0.380,0.000
resnetpix2pixHD4-VC24-RGB2LAB,6.857,0.027,15.951,0.569,0.316,0.000
resnetpix2pixWGAN-VC24-RGB2LAB,7.524,0.015,18.985,0.652,0.295,0.000
resnetpix2pixWGAN2-VC24-RGB2LAB,9.903,0.014,20.606,0.722,0.247,0.000
resnetpix2pixWGAN3-VC24-RGB2LAB,7.430,0.011,21.381,0.736,0.224,0.000
resnetpix2pixGP2-VC24-RGB2LAB,6.996,0.020,18.979,0.707,0.256,0.000
resnetpix2pixfinal-VC24-RGB2LAB,6.905,0.033,17.722,0.602,0.502,0.000
resnetpix2pixbeta4-VC24-RGB2LAB,6.542,0.012,21.012,0.746,0.200,0.000
resnetpix2pixbeta2-VC24-RGB2LAB,8.558,0.013,19.972,0.721,0.200,0.000
resnetpix2pixbeta4-VC24-RGB2LAB,8.303,0.011,20.996,0.745,0.200,0.000
resnetpix2pixbeta6-VC24-RGB2LAB,9.994,0.017,18.936,0.695,0.221,0.000
